company,amount,Amount (HK$ Million)
Gammon - STEC Joint Venture,2720018000.0,2720.018
CRBC - MAYLON Joint Venture,2266910000.0,2266.91
Gammon - Build King - Tung Lee Joint Venture,2122560000.0,2122.56
Lanon - Sinohydro - Excel JV,1818000000.0,1818.0
Build King - Richwell Civil Joint Venture,1277118000.0,1277.118
CCC-CCECC-CR11G Joint Venture,792000000.0,792.0
CREC Joint Venture,633000000.0,633.0
Adrian Construction Limited,332530000.0,332.53
CM Geotechnics Limited,270640000.0,270.64
Pan Kee Construction Limited,193170000.0,193.17
Tai Kam Construction Engineering Company Limited,146950000.0,146.95
Ming Hing Waterworks Engineering Company Limited,111580000.0,111.58
U-Win Const & Eng Co Limited,107880000.0,107.88
Law Chi Yip Construction Company Limited,79245500.0,79.2455
Gold Ram Engineering & Development Limited,42680000.0,42.68
Bachy Soletanche Group Limited,32070000.0,32.07
Tysan Foundation Limited,27500000.0,27.5
Castco Testing Centre Limited,3380000.0,3.38
Medii Technology Limited,2860000.0,2.86
MASU Survey Company Limited,2700000.0,2.7
Spatial Technology Limited,1530352.0,1.530352
